"Date","Price","Open","High","Low","Vol.","Change %"
"05/18/2023","318.52","314.53","319.04","313.72","27.28M","1.44%"
"05/17/2023","314.00","312.29","314.43","310.74","24.32M","0.72%"
"05/16/2023","311.74","309.83","313.71","309.83","26.73M","0.74%"
"05/15/2023","309.46","309.10","309.90","307.59","16.34M","0.16%"
"05/12/2023","308.97","310.55","310.65","306.60","19.77M","-0.37%"
"05/11/2023","310.11","310.10","311.12","306.26","31.68M","-0.70%"
"05/10/2023","312.31","308.62","313.00","307.67","30.08M","1.73%"
"05/09/2023","307.00","308.00","310.04","306.31","21.34M","-0.53%"
"05/08/2023","308.65","310.13","310.20","306.09","21.32M","-0.64%"
"05/05/2023","310.65","305.72","311.97","304.27","28.20M","1.72%"
"05/04/2023","305.41","306.24","307.76","303.40","22.52M","0.33%"
"05/03/2023","304.40","306.62","308.61","304.09","22.36M","-0.33%"
"05/02/2023","305.41","307.76","309.18","303.91","26.40M","-0.05%"
"05/01/2023","305.56","306.97","308.60","305.15","21.29M","-0.55%"
"04/28/2023","307.26","304.01","308.93","303.31","36.47M","0.80%"
"04/27/2023","304.83","295.97","305.20","295.25","46.46M","3.20%"
"04/26/2023","295.37","296.70","299.57","292.73","64.60M","7.24%"
"04/25/2023","275.42","279.51","281.60","275.37","45.77M","-2.25%"
"04/24/2023","281.77","282.09","284.95","278.72","26.61M","-1.40%"
"04/21/2023","285.76","285.01","286.27","283.06","21.68M","-0.12%"
"04/20/2023","286.11","285.25","289.03","285.08","23.24M","-0.81%"
"04/19/2023","288.45","285.99","289.05","284.54","17.15M","0.03%"
"04/18/2023","288.37","291.57","291.76","287.01","20.16M","-0.15%"
"04/17/2023","288.80","289.93","291.60","286.16","23.84M","0.93%"
"04/14/2023","286.14","287.00","288.48","283.69","20.99M","-1.28%"
"04/13/2023","289.84","283.59","289.90","283.17","24.22M","2.24%"
"04/12/2023","283.49","284.79","287.01","281.96","27.40M","0.23%"
"04/11/2023","282.83","285.75","285.98","281.64","27.28M","-2.27%"
"04/10/2023","289.39","289.21","289.60","284.71","23.10M","-0.76%"
"04/06/2023","291.60","283.21","292.08","282.03","29.77M","2.55%"
"04/05/2023","284.34","285.85","287.15","282.92","22.06M","-0.99%"
"04/04/2023","287.18","287.23","290.45","285.67","25.82M","-0.02%"
"04/03/2023","287.23","286.52","288.27","283.95","24.88M","-0.37%"
